[GEO] Natural Earth 10m Coastline
N007.23.50.223 W081.39.51.759 N007.23.50.223 W081.40.13.878 COLOR_Coastline
N007.23.50.223 W081.40.13.878 N007.23.29.715 W081.40.40.391 COLOR_Coastline
N007.23.29.715 W081.40.40.391 N007.23.42.020 W081.41.03.975 COLOR_Coastline
N007.23.42.020 W081.41.03.975 N007.24.13.661 W081.41.21.114 COLOR_Coastline
N007.24.13.661 W081.41.21.114 N007.24.50.575 W081.41.27.706 COLOR_Coastline
N007.24.50.575 W081.41.27.706 N007.25.26.317 W081.41.41.036 COLOR_Coastline
N007.25.26.317 W081.41.41.036 N007.26.24.325 W081.42.45.782 COLOR_Coastline
N007.26.24.325 W081.42.45.782 N007.27.09.149 W081.43.08.341 COLOR_Coastline
N007.27.09.149 W081.43.08.341 N007.27.27.020 W081.43.00.431 COLOR_Coastline
N007.27.27.020 W081.43.00.431 N007.29.11.903 W081.42.33.624 COLOR_Coastline
N007.29.11.903 W081.42.33.624 N007.29.36.512 W081.42.30.108 COLOR_Coastline
N007.29.36.512 W081.42.30.108 N007.30.19.872 W081.40.34.972 COLOR_Coastline
N007.30.19.872 W081.40.34.972 N007.30.36.864 W081.40.13.878 COLOR_Coastline
N007.30.36.864 W081.40.13.878 N007.31.34.872 W081.40.18.419 COLOR_Coastline
N007.31.34.872 W081.40.18.419 N007.31.55.673 W081.40.32.335 COLOR_Coastline
N007.31.55.673 W081.40.32.335 N007.32.04.462 W081.40.55.333 COLOR_Coastline
N007.32.04.462 W081.40.55.333 N007.32.26.434 W081.41.27.706 COLOR_Coastline
N007.32.26.434 W081.41.27.706 N007.32.29.071 W081.41.37.813 COLOR_Coastline
N007.32.29.071 W081.41.37.813 N007.32.24.676 W081.42.07.696 COLOR_Coastline
N007.32.24.676 W081.42.07.696 N007.32.26.434 W081.42.19.122 COLOR_Coastline
N007.32.26.434 W081.42.19.122 N007.32.35.223 W081.42.21.319 COLOR_Coastline
N007.32.35.223 W081.42.21.319 N007.33.03.934 W081.42.17.364 COLOR_Coastline
N007.33.03.934 W081.42.17.364 N007.33.13.309 W081.42.19.122 COLOR_Coastline
N007.33.13.309 W081.42.19.122 N007.33.57.255 W081.42.47.833 COLOR_Coastline
N007.33.57.255 W081.42.47.833 N007.34.04.872 W081.42.54.718 COLOR_Coastline
N007.34.04.872 W081.42.54.718 N007.34.46.766 W081.42.58.233 COLOR_Coastline
N007.34.46.766 W081.42.58.233 N007.38.39.383 W081.44.19.825 COLOR_Coastline
N007.38.39.383 W081.44.19.825 N007.38.36.454 W081.44.32.716 COLOR_Coastline
N007.38.36.454 W081.44.32.716 N007.38.35.868 W081.44.43.263 COLOR_Coastline
N007.38.35.868 W081.44.43.263 N007.38.30.594 W081.44.48.536 COLOR_Coastline
N007.38.30.594 W081.44.48.536 N007.38.12.723 W081.44.46.485 COLOR_Coastline
N007.38.12.723 W081.44.46.485 N007.38.12.723 W081.45.09.044 COLOR_Coastline
N007.38.12.723 W081.45.09.044 N007.38.39.383 W081.45.09.044 COLOR_Coastline
N007.38.39.383 W081.45.09.044 N007.38.39.383 W081.45.35.704 COLOR_Coastline
N007.38.39.383 W081.45.35.704 N007.38.11.112 W081.45.26.329 COLOR_Coastline
N007.38.11.112 W081.45.26.329 N007.37.26.434 W081.45.18.858 COLOR_Coastline
N007.37.26.434 W081.45.18.858 N007.36.59.042 W081.45.09.044 COLOR_Coastline
N007.36.59.042 W081.45.09.044 N007.36.59.042 W081.45.35.704 COLOR_Coastline
N007.36.59.042 W081.45.35.704 N007.37.12.665 W081.45.37.315 COLOR_Coastline
N007.37.12.665 W081.45.37.315 N007.36.53.329 W081.46.12.472 COLOR_Coastline
N007.36.53.329 W081.46.12.472 N007.35.39.208 W081.47.53.985 COLOR_Coastline
N007.35.39.208 W081.47.53.985 N007.35.25.438 W081.49.00.489 COLOR_Coastline
N007.35.25.438 W081.49.00.489 N007.35.07.274 W081.49.28.028 COLOR_Coastline
N007.35.07.274 W081.49.28.028 N007.34.34.169 W081.49.47.950 COLOR_Coastline
N007.34.34.169 W081.49.47.950 N007.34.05.458 W081.49.53.077 COLOR_Coastline
N007.34.05.458 W081.49.53.077 N007.33.33.378 W081.49.54.395 COLOR_Coastline
N007.33.33.378 W081.49.54.395 N007.32.51.044 W081.50.03.770 COLOR_Coastline
N007.32.51.044 W081.50.03.770 N007.32.48.114 W081.50.10.509 COLOR_Coastline
N007.32.48.114 W081.50.10.509 N007.31.26.815 W081.50.56.212 COLOR_Coastline
N007.31.26.815 W081.50.56.212 N007.31.12.753 W081.50.55.333 COLOR_Coastline
N007.31.12.753 W081.50.55.333 N007.31.03.085 W081.51.29.024 COLOR_Coastline
N007.31.03.085 W081.51.29.024 N007.31.02.938 W081.52.44.024 COLOR_Coastline
N007.31.02.938 W081.52.44.024 N007.31.00.448 W081.52.58.087 COLOR_Coastline
N007.31.00.448 W081.52.58.087 N007.29.25.526 W081.52.30.401 COLOR_Coastline
N007.29.25.526 W081.52.30.401 N007.29.09.706 W081.52.22.345 COLOR_Coastline
N007.29.09.706 W081.52.22.345 N007.28.42.460 W081.51.52.755 COLOR_Coastline
N007.28.42.460 W081.51.52.755 N007.25.50.926 W081.50.30.724 COLOR_Coastline
N007.25.50.926 W081.50.30.724 N007.23.44.071 W081.48.00.138 COLOR_Coastline
N007.23.44.071 W081.48.00.138 N007.23.03.202 W081.46.50.704 COLOR_Coastline
N007.23.03.202 W081.46.50.704 N007.21.27.840 W081.45.24.132 COLOR_Coastline
N007.21.27.840 W081.45.24.132 N007.20.55.907 W081.44.46.485 COLOR_Coastline
N007.20.55.907 W081.44.46.485 N007.20.39.940 W081.43.37.638 COLOR_Coastline
N007.20.39.940 W081.43.37.638 N007.20.28.954 W081.41.03.243 COLOR_Coastline
N007.20.28.954 W081.41.03.243 N007.19.17.469 W081.38.57.852 COLOR_Coastline
N007.19.17.469 W081.38.57.852 N007.19.17.762 W081.37.41.388 COLOR_Coastline
N007.19.17.762 W081.37.41.388 N007.19.39.296 W081.36.24.044 COLOR_Coastline
N007.19.39.296 W081.36.24.044 N007.20.06.688 W081.35.16.807 COLOR_Coastline
N007.20.06.688 W081.35.16.807 N007.23.12.137 W081.36.57.149 COLOR_Coastline
N007.23.12.137 W081.36.57.149 N007.23.37.919 W081.37.19.415 COLOR_Coastline
N007.23.37.919 W081.37.19.415 N007.23.27.665 W081.39.08.985 COLOR_Coastline
N007.23.27.665 W081.39.08.985 N007.23.50.223 W081.39.51.759 COLOR_Coastline
N008.11.57.137 W082.12.42.413 N008.12.43.426 W082.13.12.442 COLOR_Coastline
N008.12.43.426 W082.13.12.442 N008.13.14.335 W082.14.19.972 COLOR_Coastline
N008.13.14.335 W082.14.19.972 N008.13.37.333 W082.15.34.532 COLOR_Coastline
N008.13.37.333 W082.15.34.532 N008.14.00.038 W082.16.25.802 COLOR_Coastline
N008.14.00.038 W082.16.25.802 N008.13.26.639 W082.18.23.282 COLOR_Coastline
N008.13.26.639 W082.18.23.282 N008.12.53.680 W082.18.56.388 COLOR_Coastline
N008.12.53.680 W082.18.56.388 N008.11.57.137 W082.18.28.702 COLOR_Coastline
N008.11.57.137 W082.18.28.702 N008.11.46.005 W082.18.04.972 COLOR_Coastline
N008.11.46.005 W082.18.04.972 N008.11.36.776 W082.16.52.901 COLOR_Coastline
N008.11.36.776 W082.16.52.901 N008.11.30.477 W082.16.25.802 COLOR_Coastline
N008.11.30.477 W082.16.25.802 N008.10.16.649 W082.14.45.460 COLOR_Coastline
N008.10.16.649 W082.14.45.460 N008.11.18.173 W082.15.09.337 COLOR_Coastline
N008.11.18.173 W082.15.09.337 N008.11.35.751 W082.15.11.974 COLOR_Coastline
N008.11.35.751 W082.15.11.974 N008.12.08.417 W082.15.12.266 COLOR_Coastline
N008.12.08.417 W082.15.12.266 N008.12.24.237 W082.14.49.415 COLOR_Coastline
N008.12.24.237 W082.14.49.415 N008.12.19.110 W082.13.58.878 COLOR_Coastline
N008.12.19.110 W082.13.58.878 N008.11.57.137 W082.12.42.413 COLOR_Coastline
