[GEO] Natural Earth 10m Coastline
N012.16.16.708 W071.53.11.710 N012.16.39.999 W071.53.33.829 COLOR_Coastline
N012.16.39.999 W071.53.33.829 N012.16.57.723 W071.54.18.946 COLOR_Coastline
N012.16.57.723 W071.54.18.946 N012.17.02.118 W071.55.05.968 COLOR_Coastline
N012.17.02.118 W071.55.05.968 N012.16.54.794 W071.55.50.352 COLOR_Coastline
N012.16.54.794 W071.55.50.352 N012.16.36.923 W071.56.26.681 COLOR_Coastline
N012.16.36.923 W071.56.26.681 N012.16.08.505 W071.56.48.653 COLOR_Coastline
N012.16.08.505 W071.56.48.653 N012.16.08.505 W071.57.10.919 COLOR_Coastline
N012.16.08.505 W071.57.10.919 N012.16.57.723 W071.57.37.872 COLOR_Coastline
N012.16.57.723 W071.57.37.872 N012.18.49.051 W071.54.53.224 COLOR_Coastline
N012.18.49.051 W071.54.53.224 N012.20.41.258 W071.52.40.509 COLOR_Coastline
N012.20.41.258 W071.52.40.509 N012.20.58.397 W071.52.31.720 COLOR_Coastline
N012.20.58.397 W071.52.31.720 N012.21.45.419 W071.52.16.485 COLOR_Coastline
N012.21.45.419 W071.52.16.485 N012.21.55.087 W071.52.02.716 COLOR_Coastline
N012.21.55.087 W071.52.02.716 N012.21.51.571 W071.50.57.970 COLOR_Coastline
N012.21.51.571 W071.50.57.970 N012.21.55.087 W071.50.39.806 COLOR_Coastline
N012.21.55.087 W071.50.39.806 N012.22.34.344 W071.49.44.727 COLOR_Coastline
N012.22.34.344 W071.49.44.727 N012.22.40.350 W071.49.15.284 COLOR_Coastline
N012.22.40.350 W071.49.15.284 N012.22.19.696 W071.48.32.657 COLOR_Coastline
N012.22.19.696 W071.48.32.657 N012.21.48.055 W071.49.36.524 COLOR_Coastline
N012.21.48.055 W071.49.36.524 N012.21.06.161 W071.50.24.278 COLOR_Coastline
N012.21.06.161 W071.50.24.278 N012.20.17.089 W071.50.35.265 COLOR_Coastline
N012.20.17.089 W071.50.35.265 N012.19.25.233 W071.49.48.536 COLOR_Coastline
N012.19.25.233 W071.49.48.536 N012.19.11.317 W071.49.22.315 COLOR_Coastline
N012.19.11.317 W071.49.22.315 N012.19.09.413 W071.49.03.712 COLOR_Coastline
N012.19.09.413 W071.49.03.712 N012.19.25.233 W071.48.10.245 COLOR_Coastline
N012.19.25.233 W071.48.10.245 N012.19.35.048 W071.48.06.583 COLOR_Coastline
N012.19.35.048 W071.48.06.583 N012.19.52.479 W071.48.10.684 COLOR_Coastline
N012.19.52.479 W071.48.10.684 N012.20.09.178 W071.48.11.563 COLOR_Coastline
N012.20.09.178 W071.48.11.563 N012.20.16.649 W071.47.57.940 COLOR_Coastline
N012.20.16.649 W071.47.57.940 N012.20.13.719 W071.47.07.403 COLOR_Coastline
N012.20.13.719 W071.47.07.403 N012.20.16.649 W071.46.54.220 COLOR_Coastline
N012.20.16.649 W071.46.54.220 N012.20.51.366 W071.45.47.862 COLOR_Coastline
N012.20.51.366 W071.45.47.862 N012.21.22.274 W071.45.03.917 COLOR_Coastline
N012.21.22.274 W071.45.03.917 N012.22.03.436 W071.44.38.575 COLOR_Coastline
N012.22.03.436 W071.44.38.575 N012.23.08.622 W071.44.26.856 COLOR_Coastline
N012.23.08.622 W071.44.26.856 N012.23.13.895 W071.44.36.231 COLOR_Coastline
N012.23.13.895 W071.44.36.231 N012.23.16.239 W071.44.55.274 COLOR_Coastline
N012.23.16.239 W071.44.55.274 N012.23.26.932 W071.45.06.554 COLOR_Coastline
N012.23.26.932 W071.45.06.554 N012.23.57.840 W071.44.53.516 COLOR_Coastline
N012.23.57.840 W071.44.53.516 N012.24.20.692 W071.44.29.493 COLOR_Coastline
N012.24.20.692 W071.44.29.493 N012.24.36.805 W071.43.57.120 COLOR_Coastline
N012.24.36.805 W071.43.57.120 N012.24.46.034 W071.43.21.964 COLOR_Coastline
N012.24.46.034 W071.43.21.964 N012.24.49.403 W071.42.48.419 COLOR_Coastline
N012.24.49.403 W071.42.48.419 N012.23.45.536 W071.43.11.417 COLOR_Coastline
N012.23.45.536 W071.43.11.417 N012.23.13.309 W071.42.49.591 COLOR_Coastline
N012.23.13.309 W071.42.49.591 N012.22.45.184 W071.42.15.167 COLOR_Coastline
N012.22.45.184 W071.42.15.167 N012.21.55.087 W071.41.59.347 COLOR_Coastline
N012.21.55.087 W071.41.59.347 N012.21.55.087 W071.41.36.934 COLOR_Coastline
N012.21.55.087 W071.41.36.934 N012.22.08.270 W071.41.27.559 COLOR_Coastline
N012.22.08.270 W071.41.27.559 N012.22.33.319 W071.41.13.497 COLOR_Coastline
N012.22.33.319 W071.41.13.497 N012.22.57.782 W071.41.07.638 COLOR_Coastline
N012.22.57.782 W071.41.07.638 N012.23.08.622 W071.41.23.458 COLOR_Coastline
N012.23.08.622 W071.41.23.458 N012.23.17.264 W071.41.48.360 COLOR_Coastline
N012.23.17.264 W071.41.48.360 N012.23.36.161 W071.41.29.903 COLOR_Coastline
N012.23.36.161 W071.41.29.903 N012.23.53.299 W071.40.58.702 COLOR_Coastline
N012.23.53.299 W071.40.58.702 N012.23.57.840 W071.40.45.518 COLOR_Coastline
N012.23.57.840 W071.40.45.518 N012.24.20.692 W071.40.03.331 COLOR_Coastline
N012.24.20.692 W071.40.03.331 N012.24.36.219 W071.39.13.673 COLOR_Coastline
N012.24.36.219 W071.39.13.673 N012.24.57.460 W071.38.26.651 COLOR_Coastline
N012.24.57.460 W071.38.26.651 N012.25.38.622 W071.37.51.349 COLOR_Coastline
N012.25.38.622 W071.37.51.349 N012.25.33.495 W071.38.36.173 COLOR_Coastline
N012.25.33.495 W071.38.36.173 N012.25.16.356 W071.39.13.966 COLOR_Coastline
N012.25.16.356 W071.39.13.966 N012.24.57.899 W071.39.44.434 COLOR_Coastline
N012.24.57.899 W071.39.44.434 N012.24.49.403 W071.40.07.579 COLOR_Coastline
N012.24.49.403 W071.40.07.579 N012.25.01.122 W071.40.44.786 COLOR_Coastline
N012.25.01.122 W071.40.44.786 N012.25.29.247 W071.40.38.341 COLOR_Coastline
N012.25.29.247 W071.40.38.341 N012.26.01.473 W071.40.07.286 COLOR_Coastline
N012.26.01.473 W071.40.07.286 N012.26.25.350 W071.39.31.690 COLOR_Coastline
N012.26.25.350 W071.39.31.690 N012.26.25.497 W071.40.12.266 COLOR_Coastline
N012.26.25.497 W071.40.12.266 N012.26.18.173 W071.40.48.302 COLOR_Coastline
N012.26.18.173 W071.40.48.302 N012.26.02.645 W071.41.17.159 COLOR_Coastline
N012.26.02.645 W071.41.17.159 N012.25.38.622 W071.41.36.934 COLOR_Coastline
N012.25.38.622 W071.41.36.934 N012.26.36.337 W071.41.30.782 COLOR_Coastline
N012.26.36.337 W071.41.30.782 N012.26.56.991 W071.41.24.923 COLOR_Coastline
N012.26.56.991 W071.41.24.923 N012.27.16.766 W071.41.10.128 COLOR_Coastline
N012.27.16.766 W071.41.10.128 N012.26.46.590 W071.41.57.442 COLOR_Coastline
N012.26.46.590 W071.41.57.442 N012.25.24.559 W071.43.32.511 COLOR_Coastline
N012.25.24.559 W071.43.32.511 N012.24.49.403 W071.44.04.298 COLOR_Coastline
N012.24.49.403 W071.44.04.298 N012.25.11.669 W071.44.26.856 COLOR_Coastline
N012.25.11.669 W071.44.26.856 N012.26.17.001 W071.43.49.942 COLOR_Coastline
N012.26.17.001 W071.43.49.942 N012.27.12.665 W071.42.56.622 COLOR_Coastline
N012.27.12.665 W071.42.56.622 N012.27.51.483 W071.41.50.118 COLOR_Coastline
N012.27.51.483 W071.41.50.118 N012.28.05.985 W071.40.32.188 COLOR_Coastline
N012.28.05.985 W071.40.32.188 N012.27.55.145 W071.39.22.169 COLOR_Coastline
N012.27.55.145 W071.39.22.169 N012.27.05.340 W071.37.33.917 COLOR_Coastline
N012.27.05.340 W071.37.33.917 N012.26.49.960 W071.36.14.962 COLOR_Coastline
N012.26.49.960 W071.36.14.962 N012.26.49.960 W071.31.53.780 COLOR_Coastline
N012.26.49.960 W071.31.53.780 N012.26.35.751 W071.30.40.684 COLOR_Coastline
N012.26.35.751 W071.30.40.684 N012.26.01.766 W071.29.26.270 COLOR_Coastline
N012.26.01.766 W071.29.26.270 N012.24.49.403 W071.27.34.503 COLOR_Coastline
N012.24.49.403 W071.27.34.503 N012.24.02.089 W071.26.45.431 COLOR_Coastline
N012.24.02.089 W071.26.45.431 N012.23.46.268 W071.26.20.675 COLOR_Coastline
N012.23.46.268 W071.26.20.675 N012.23.33.231 W071.25.33.946 COLOR_Coastline
N012.23.33.231 W071.25.33.946 N012.23.35.868 W071.23.24.893 COLOR_Coastline
N012.23.35.868 W071.23.24.893 N012.23.20.926 W071.22.51.934 COLOR_Coastline
N012.23.20.926 W071.22.51.934 N012.22.28.046 W071.21.40.450 COLOR_Coastline
N012.22.28.046 W071.21.40.450 N012.22.01.825 W071.20.27.354 COLOR_Coastline
N012.22.01.825 W071.20.27.354 N012.21.30.477 W071.17.42.559 COLOR_Coastline
N012.21.30.477 W071.17.42.559 N012.20.30.712 W071.15.42.589 COLOR_Coastline
N012.20.30.712 W071.15.42.589 N012.19.39.735 W071.14.32.276 COLOR_Coastline
N012.19.39.735 W071.14.32.276 N012.18.39.090 W071.13.53.751 COLOR_Coastline
N012.18.39.090 W071.13.53.751 N012.18.19.462 W071.13.37.784 COLOR_Coastline
N012.18.19.462 W071.13.37.784 N012.17.50.311 W071.13.21.524 COLOR_Coastline
N012.17.50.311 W071.13.21.524 N012.16.41.756 W071.13.08.634 COLOR_Coastline
N012.16.41.756 W071.13.08.634 N012.10.36.131 W071.09.30.372 COLOR_Coastline
N012.10.36.131 W071.09.30.372 N012.08.58.573 W071.09.06.202 COLOR_Coastline
N012.08.58.573 W071.09.06.202 N012.05.39.794 W071.06.49.972 COLOR_Coastline
N012.05.39.794 W071.06.49.972 N012.04.29.774 W071.06.26.974 COLOR_Coastline
N012.04.29.774 W071.06.26.974 N012.03.08.622 W071.06.49.239 COLOR_Coastline
N012.03.08.622 W071.06.49.239 N012.01.52.303 W071.07.33.917 COLOR_Coastline
N012.01.52.303 W071.07.33.917 N012.00.56.932 W071.08.17.130 COLOR_Coastline
N012.00.56.932 W071.08.17.130 N011.59.46.180 W071.09.53.663 COLOR_Coastline
N011.59.46.180 W071.09.53.663 N011.57.32.001 W071.14.02.393 COLOR_Coastline
N011.57.32.001 W071.14.02.393 N011.56.13.046 W071.15.14.903 COLOR_Coastline
N011.56.13.046 W071.15.14.903 N011.55.45.067 W071.16.07.198 COLOR_Coastline
N011.55.45.067 W071.16.07.198 N011.55.22.508 W071.17.08.282 COLOR_Coastline
N011.55.22.508 W071.17.08.282 N011.55.12.840 W071.17.55.743 COLOR_Coastline
N011.55.12.840 W071.17.55.743 N011.54.42.079 W071.18.12.882 COLOR_Coastline
N011.54.42.079 W071.18.12.882 N011.51.29.305 W071.19.23.048 COLOR_Coastline
N011.51.29.305 W071.19.23.048 N011.51.00.301 W071.19.38.868 COLOR_Coastline
N011.51.00.301 W071.19.38.868 N011.51.00.008 W071.19.39.015 COLOR_Coastline
N011.51.00.008 W071.19.39.015 N011.49.31.825 W071.20.26.329 COLOR_Coastline
N011.49.31.825 W071.20.26.329 N011.48.27.079 W071.20.37.901 COLOR_Coastline
N011.48.27.079 W071.20.37.901 N011.47.21.307 W071.20.09.776 COLOR_Coastline
N011.47.21.307 W071.20.09.776 N011.47.10.321 W071.21.48.946 COLOR_Coastline
N011.47.10.321 W071.21.48.946 N011.46.59.188 W071.22.17.218 COLOR_Coastline
N011.46.59.188 W071.22.17.218 N011.46.32.089 W071.22.31.720 COLOR_Coastline
N011.46.32.089 W071.22.31.720 N011.45.58.837 W071.22.33.038 COLOR_Coastline
N011.45.58.837 W071.22.33.038 N011.45.30.419 W071.22.41.388 COLOR_Coastline
N011.45.30.419 W071.22.41.388 N011.45.18.407 W071.23.16.251 COLOR_Coastline
N011.45.18.407 W071.23.16.251 N011.45.04.198 W071.24.35.938 COLOR_Coastline
N011.45.04.198 W071.24.35.938 N011.43.17.850 W071.28.01.602 COLOR_Coastline
N011.43.17.850 W071.28.01.602 N011.42.35.223 W071.30.25.450 COLOR_Coastline
N011.42.35.223 W071.30.25.450 N011.41.04.989 W071.40.27.940 COLOR_Coastline
N011.41.04.989 W071.40.27.940 N011.37.41.376 W071.51.42.501 COLOR_Coastline
N011.37.41.376 W071.51.42.501 N011.37.16.766 W071.54.02.540 COLOR_Coastline
N011.37.16.766 W071.54.02.540 N011.36.46.005 W071.55.30.577 COLOR_Coastline
N011.36.46.005 W071.55.30.577 N011.36.06.454 W071.56.51.290 COLOR_Coastline
N011.36.06.454 W071.56.51.290 N011.35.28.514 W071.57.37.872 COLOR_Coastline
N011.35.28.514 W071.57.37.872 N011.33.17.411 W071.58.16.690 COLOR_Coastline
N011.33.17.411 W071.58.16.690 N011.30.40.965 W071.58.12.442 COLOR_Coastline
N011.30.40.965 W071.58.12.442 N011.22.50.751 W071.56.21.554 COLOR_Coastline
N011.22.50.751 W071.56.21.554 N011.13.01.151 W071.51.24.923 COLOR_Coastline
N011.13.01.151 W071.51.24.923 N011.07.55.145 W071.47.45.636 COLOR_Coastline
N011.07.55.145 W071.47.45.636 N011.06.22.860 W071.46.11.153 COLOR_Coastline
N011.06.22.860 W071.46.11.153 N011.02.28.339 W071.39.10.450 COLOR_Coastline
N011.02.28.339 W071.39.10.450 N011.01.44.540 W071.38.16.104 COLOR_Coastline
N011.01.44.540 W071.38.16.104 N011.00.53.856 W071.37.35.235 COLOR_Coastline
N011.00.53.856 W071.37.35.235 N011.00.03.465 W071.37.28.790 COLOR_Coastline
N011.00.03.465 W071.37.28.790 N010.59.53.651 W071.37.56.915 COLOR_Coastline
N010.59.53.651 W071.37.56.915 N010.59.16.737 W071.40.45.518 COLOR_Coastline
N010.59.16.737 W071.40.45.518 N011.00.12.987 W071.40.31.016 COLOR_Coastline
N011.00.12.987 W071.40.31.016 N011.01.00.008 W071.40.56.065 COLOR_Coastline
N011.01.00.008 W071.40.56.065 N011.01.32.089 W071.41.49.679 COLOR_Coastline
N011.01.32.089 W071.41.49.679 N011.01.50.985 W071.43.27.384 COLOR_Coastline
N011.01.50.985 W071.43.27.384 N011.02.03.729 W071.44.05.177 COLOR_Coastline
N011.02.03.729 W071.44.05.177 N011.02.09.442 W071.44.39.161 COLOR_Coastline
N011.02.09.442 W071.44.39.161 N011.01.56.551 W071.44.53.516 COLOR_Coastline
N011.01.56.551 W071.44.53.516 N011.01.39.999 W071.45.02.891 COLOR_Coastline
N011.01.39.999 W071.45.02.891 N011.01.21.395 W071.45.24.132 COLOR_Coastline
N011.01.21.395 W071.45.24.132 N011.00.55.028 W071.46.07.198 COLOR_Coastline
N011.00.55.028 W071.46.07.198 N011.00.13.719 W071.45.35.557 COLOR_Coastline
N011.00.13.719 W071.45.35.557 N010.58.15.214 W071.43.25.333 COLOR_Coastline
N010.58.15.214 W071.43.25.333 N010.57.27.899 W071.42.56.475 COLOR_Coastline
N010.57.27.899 W071.42.56.475 N010.56.44.247 W071.42.57.794 COLOR_Coastline
N010.56.44.247 W071.42.57.794 N010.55.59.423 W071.43.10.099 COLOR_Coastline
N010.55.59.423 W071.43.10.099 N010.55.08.739 W071.43.13.175 COLOR_Coastline
N010.55.08.739 W071.43.13.175 N010.52.42.987 W071.42.37.579 COLOR_Coastline
N010.52.42.987 W071.42.37.579 N010.50.13.719 W071.41.36.934 COLOR_Coastline
N010.50.13.719 W071.41.36.934 N010.48.08.622 W071.40.26.622 COLOR_Coastline
N010.48.08.622 W071.40.26.622 N010.46.14.950 W071.38.59.903 COLOR_Coastline
N010.46.14.950 W071.38.59.903 N010.44.36.512 W071.37.05.938 COLOR_Coastline
N010.44.36.512 W071.37.05.938 N010.43.15.946 W071.34.34.620 COLOR_Coastline
N010.43.15.946 W071.34.34.620 N010.41.55.965 W071.35.11.388 COLOR_Coastline
N010.41.55.965 W071.35.11.388 N010.39.34.608 W071.35.41.856 COLOR_Coastline
N010.39.34.608 W071.35.41.856 N010.38.16.385 W071.36.37.520 COLOR_Coastline
N010.38.16.385 W071.36.37.520 N010.37.48.260 W071.36.19.210 COLOR_Coastline
N010.37.48.260 W071.36.19.210 N010.37.11.200 W071.36.13.204 COLOR_Coastline
N010.37.11.200 W071.36.13.204 N010.36.30.184 W071.36.19.356 COLOR_Coastline
N010.36.30.184 W071.36.19.356 N010.35.51.219 W071.36.37.520 COLOR_Coastline
N010.35.51.219 W071.36.37.520 N010.34.54.676 W071.36.20.089 COLOR_Coastline
N010.34.54.676 W071.36.20.089 N010.33.40.409 W071.36.48.360 COLOR_Coastline
N010.33.40.409 W071.36.48.360 N010.32.20.282 W071.37.29.962 COLOR_Coastline
N010.32.20.282 W071.37.29.962 N010.31.06.454 W071.37.51.349 COLOR_Coastline
N010.31.06.454 W071.37.51.349 N010.27.48.700 W071.37.46.368 COLOR_Coastline
N010.27.48.700 W071.37.46.368 N010.27.27.753 W071.37.40.802 COLOR_Coastline
N010.27.27.753 W071.37.40.802 N010.27.14.423 W071.37.46.368 COLOR_Coastline
N010.27.14.423 W071.37.46.368 N010.26.46.005 W071.38.15.958 COLOR_Coastline
N010.26.46.005 W071.38.15.958 N010.26.32.381 W071.38.40.860 COLOR_Coastline
N010.26.32.381 W071.38.40.860 N010.25.58.983 W071.40.18.712 COLOR_Coastline
N010.25.58.983 W071.40.18.712 N010.24.33.729 W071.41.38.985 COLOR_Coastline
N010.24.33.729 W071.41.38.985 N010.24.18.641 W071.41.48.067 COLOR_Coastline
N010.24.18.641 W071.41.48.067 N010.24.03.846 W071.42.46.807 COLOR_Coastline
N010.24.03.846 W071.42.46.807 N010.23.29.423 W071.43.47.013 COLOR_Coastline
N010.23.29.423 W071.43.47.013 N010.22.15.594 W071.45.16.075 COLOR_Coastline
N010.22.15.594 W071.45.16.075 N010.20.30.272 W071.46.44.552 COLOR_Coastline
N010.20.30.272 W071.46.44.552 N010.14.03.993 W071.50.13.145 COLOR_Coastline
N010.14.03.993 W071.50.13.145 N010.09.43.837 W071.53.29.727 COLOR_Coastline
N010.09.43.837 W071.53.29.727 N010.08.21.219 W071.53.51.700 COLOR_Coastline
N010.08.21.219 W071.53.51.700 N010.07.44.305 W071.54.46.485 COLOR_Coastline
N010.07.44.305 W071.54.46.485 N010.07.03.876 W071.57.10.919 COLOR_Coastline
N010.07.03.876 W071.57.10.919 N010.06.20.516 W071.58.08.634 COLOR_Coastline
N010.06.20.516 W071.58.08.634 N010.05.17.821 W071.58.56.974 COLOR_Coastline
N010.05.17.821 W071.58.56.974 N010.04.02.821 W071.59.30.518 COLOR_Coastline
N010.04.02.821 W071.59.30.518 N010.01.31.063 W072.00.01.720 COLOR_Coastline
N010.01.31.063 W072.00.01.720 N009.59.07.508 W072.01.24.776 COLOR_Coastline
N009.59.07.508 W072.01.24.776 N009.55.46.532 W072.02.37.286 COLOR_Coastline
N009.55.46.532 W072.02.37.286 N009.51.22.128 W072.06.34.005 COLOR_Coastline
N009.51.22.128 W072.06.34.005 N009.49.33.876 W072.07.27.765 COLOR_Coastline
N009.49.33.876 W072.07.27.765 N009.48.43.924 W072.07.16.778 COLOR_Coastline
N009.48.43.924 W072.07.16.778 N009.46.21.981 W072.06.08.809 COLOR_Coastline
N009.46.21.981 W072.06.08.809 N009.45.16.649 W072.05.24.864 COLOR_Coastline
N009.45.16.649 W072.05.24.864 N009.41.08.651 W072.01.19.063 COLOR_Coastline
N009.41.08.651 W072.01.19.063 N009.39.17.030 W071.59.56.153 COLOR_Coastline
N009.39.17.030 W071.59.56.153 N009.32.28.192 W071.56.48.653 COLOR_Coastline
N009.32.28.192 W071.56.48.653 N009.33.03.934 W071.57.53.399 COLOR_Coastline
N009.33.03.934 W071.57.53.399 N009.34.11.024 W071.58.23.575 COLOR_Coastline
N009.34.11.024 W071.58.23.575 N009.35.28.514 W071.58.43.204 COLOR_Coastline
N009.35.28.514 W071.58.43.204 N009.36.36.190 W071.59.16.309 COLOR_Coastline
N009.36.36.190 W071.59.16.309 N009.36.13.778 W071.59.42.823 COLOR_Coastline
N009.36.13.778 W071.59.42.823 N009.35.59.423 W071.59.31.397 COLOR_Coastline
N009.35.59.423 W071.59.31.397 N009.35.48.290 W071.59.25.391 COLOR_Coastline
N009.35.48.290 W071.59.25.391 N009.35.22.362 W071.59.16.309 COLOR_Coastline
N009.35.22.362 W071.59.16.309 N009.35.15.770 W071.59.49.122 COLOR_Coastline
N009.35.15.770 W071.59.49.122 N009.35.06.542 W072.00.03.477 COLOR_Coastline
N009.35.06.542 W072.00.03.477 N009.34.52.626 W072.00.12.706 COLOR_Coastline
N009.34.52.626 W072.00.12.706 N009.34.33.143 W072.00.29.845 COLOR_Coastline
N009.34.33.143 W072.00.29.845 N009.34.09.266 W071.59.36.671 COLOR_Coastline
N009.34.09.266 W071.59.36.671 N009.33.21.219 W071.58.40.421 COLOR_Coastline
N009.33.21.219 W071.58.40.421 N009.32.17.352 W071.57.55.743 COLOR_Coastline
N009.32.17.352 W071.57.55.743 N009.31.04.403 W071.57.37.872 COLOR_Coastline
N009.31.04.403 W071.57.37.872 N009.29.53.651 W071.58.03.067 COLOR_Coastline
N009.29.53.651 W071.58.03.067 N009.29.50.868 W071.59.01.368 COLOR_Coastline
N009.29.50.868 W071.59.01.368 N009.30.27.928 W072.00.07.286 COLOR_Coastline
N009.30.27.928 W072.00.07.286 N009.31.16.708 W072.00.54.454 COLOR_Coastline
N009.31.16.708 W072.00.54.454 N009.30.10.350 W072.01.09.395 COLOR_Coastline
N009.30.10.350 W072.01.09.395 N009.29.00.038 W072.00.39.513 COLOR_Coastline
N009.29.00.038 W072.00.39.513 N009.27.33.173 W071.59.42.823 COLOR_Coastline
N009.27.33.173 W071.59.42.823 N009.28.12.430 W071.58.47.452 COLOR_Coastline
N009.28.12.430 W071.58.47.452 N009.29.25.087 W071.57.26.153 COLOR_Coastline
N009.29.25.087 W071.57.26.153 N009.30.00.682 W071.56.11.007 COLOR_Coastline
N009.30.00.682 W071.56.11.007 N009.28.49.051 W071.55.34.972 COLOR_Coastline
N009.28.49.051 W071.55.34.972 N009.28.49.051 W071.55.08.165 COLOR_Coastline
N009.28.49.051 W071.55.08.165 N009.30.00.682 W071.55.08.165 COLOR_Coastline
N009.30.00.682 W071.55.08.165 N009.29.36.073 W071.54.30.811 COLOR_Coastline
N009.29.36.073 W071.54.30.811 N009.27.46.649 W071.52.53.985 COLOR_Coastline
N009.27.46.649 W071.52.53.985 N009.27.22.333 W071.52.17.071 COLOR_Coastline
N009.27.22.333 W071.52.17.071 N009.27.12.958 W071.51.42.208 COLOR_Coastline
N009.27.12.958 W071.51.42.208 N009.26.59.481 W071.51.09.981 COLOR_Coastline
N009.26.59.481 W071.51.09.981 N009.26.21.688 W071.50.39.806 COLOR_Coastline
N009.26.21.688 W071.50.39.806 N009.26.42.928 W071.52.29.083 COLOR_Coastline
N009.26.42.928 W071.52.29.083 N009.26.04.403 W071.54.02.686 COLOR_Coastline
N009.26.04.403 W071.54.02.686 N009.24.45.301 W071.54.49.708 COLOR_Coastline
N009.24.45.301 W071.54.49.708 N009.23.04.960 W071.54.18.946 COLOR_Coastline
N009.23.04.960 W071.54.18.946 N009.25.07.860 W071.53.41.153 COLOR_Coastline
N009.25.07.860 W071.53.41.153 N009.25.32.616 W071.53.29.727 COLOR_Coastline
N009.25.32.616 W071.53.29.727 N009.25.32.616 W071.50.00.841 COLOR_Coastline
N009.25.32.616 W071.50.00.841 N009.24.37.684 W071.48.29.727 COLOR_Coastline
N009.24.37.684 W071.48.29.727 N009.22.54.413 W071.47.05.059 COLOR_Coastline
N009.22.54.413 W071.47.05.059 N009.21.53.036 W071.45.39.073 COLOR_Coastline
N009.21.53.036 W071.45.39.073 N009.23.04.960 W071.44.04.298 COLOR_Coastline
N009.23.04.960 W071.44.04.298 N009.22.05.194 W071.44.17.335 COLOR_Coastline
N009.22.05.194 W071.44.17.335 N009.21.48.934 W071.44.26.856 COLOR_Coastline
N009.21.48.934 W071.44.26.856 N009.21.19.491 W071.43.49.356 COLOR_Coastline
N009.21.19.491 W071.43.49.356 N009.20.53.124 W071.43.40.860 COLOR_Coastline
N009.20.53.124 W071.43.40.860 N009.20.36.424 W071.44.02.247 COLOR_Coastline
N009.20.36.424 W071.44.02.247 N009.20.35.399 W071.44.53.516 COLOR_Coastline
N009.20.35.399 W071.44.53.516 N009.20.10.790 W071.44.53.516 COLOR_Coastline
N009.20.10.790 W071.44.53.516 N009.19.29.481 W071.44.08.985 COLOR_Coastline
N009.19.29.481 W071.44.08.985 N009.18.27.372 W071.44.04.151 COLOR_Coastline
N009.18.27.372 W071.44.04.151 N009.17.21.747 W071.44.23.927 COLOR_Coastline
N009.17.21.747 W071.44.23.927 N009.16.29.452 W071.44.53.516 COLOR_Coastline
N009.16.29.452 W071.44.53.516 N009.17.00.214 W071.45.29.552 COLOR_Coastline
N009.17.00.214 W071.45.29.552 N009.16.07.919 W071.46.41.036 COLOR_Coastline
N009.16.07.919 W071.46.41.036 N009.13.59.891 W071.48.59.464 COLOR_Coastline
N009.13.59.891 W071.48.59.464 N009.13.31.766 W071.48.25.333 COLOR_Coastline
N009.13.31.766 W071.48.25.333 N009.14.01.942 W071.47.46.075 COLOR_Coastline
N009.14.01.942 W071.47.46.075 N009.14.25.087 W071.47.06.231 COLOR_Coastline
N009.14.25.087 W071.47.06.231 N009.13.35.282 W071.46.31.807 COLOR_Coastline
N009.13.35.282 W071.46.31.807 N009.13.48.465 W071.46.03.829 COLOR_Coastline
N009.13.48.465 W071.46.03.829 N009.14.01.796 W071.45.43.614 COLOR_Coastline
N009.14.01.796 W071.45.43.614 N009.14.20.253 W071.45.28.526 COLOR_Coastline
N009.14.20.253 W071.45.28.526 N009.14.49.110 W071.45.16.075 COLOR_Coastline
N009.14.49.110 W071.45.16.075 N009.14.15.419 W071.44.40.919 COLOR_Coastline
N009.14.15.419 W071.44.40.919 N009.13.37.919 W071.44.52.345 COLOR_Coastline
N009.13.37.919 W071.44.52.345 N009.12.58.661 W071.44.57.765 COLOR_Coastline
N009.12.58.661 W071.44.57.765 N009.12.21.600 W071.44.04.298 COLOR_Coastline
N009.12.21.600 W071.44.04.298 N009.12.15.301 W071.45.11.681 COLOR_Coastline
N009.12.15.301 W071.45.11.681 N009.11.26.669 W071.45.06.554 COLOR_Coastline
N009.11.26.669 W071.45.06.554 N009.09.54.090 W071.44.04.298 COLOR_Coastline
N009.09.54.090 W071.44.04.298 N009.08.20.340 W071.45.29.405 COLOR_Coastline
N009.08.20.340 W071.45.29.405 N009.07.51.044 W071.45.42.735 COLOR_Coastline
N009.07.51.044 W071.45.42.735 N009.07.12.225 W071.45.31.895 COLOR_Coastline
N009.07.12.225 W071.45.31.895 N009.06.56.551 W071.45.05.528 COLOR_Coastline
N009.06.56.551 W071.45.05.528 N009.06.46.737 W071.44.38.868 COLOR_Coastline
N009.06.46.737 W071.44.38.868 N009.06.24.911 W071.44.26.856 COLOR_Coastline
N009.06.24.911 W071.44.26.856 N009.06.22.860 W071.44.05.030 COLOR_Coastline
N009.06.22.860 W071.44.05.030 N009.06.00.887 W071.43.21.085 COLOR_Coastline
N009.06.00.887 W071.43.21.085 N009.05.35.692 W071.42.48.565 COLOR_Coastline
N009.05.35.692 W071.42.48.565 N009.05.23.680 W071.43.00.724 COLOR_Coastline
N009.05.23.680 W071.43.00.724 N009.05.09.032 W071.43.06.143 COLOR_Coastline
N009.05.09.032 W071.43.06.143 N009.04.36.219 W071.42.30.841 COLOR_Coastline
N009.04.36.219 W071.42.30.841 N009.03.43.046 W071.41.10.128 COLOR_Coastline
